type,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
conduit,45400,45400,508,0,0,0,0,0,0,0
conduit,96200,45400,508,0,0,0,0,0,0,0
conduit,147000,45400,508,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,4500,3800,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,150000,0,150000,400000,0,400000,0,0
conduit,4700,393500,35,0,0,0,0,0,0,0
conduit,4000,393500,50,0,0,0,0,0,0,0
boundary,0,0,685800,0,685800,1000000,0,1000000,0,0
conduit,18966,12807,35,0,0,0,0,0,0,0
conduit,23861,13570,35,0,0,0,0,0,0,0
conduit,13722,15038,35,0,0,0,0,0,0,0
conduit,27582,16564,35,0,0,0,0,0,0,0
conduit,19900,18384,35,0,0,0,0,0,0,0
conduit,10607,18737,35,0,0,0,0,0,0,0
conduit,29537,21554,35,0,0,0,0,0,0,0
conduit,24002,21958,35,0,0,0,0,0,0,0
conduit,15122,22317,35,0,0,0,0,0,0,0
conduit,19358,22500,250,0,0,0,0,0,0,0
conduit,10350,23315,35,0,0,0,0,0,0,0
conduit,19620,26016,35,0,0,0,0,0,0,0
conduit,27390,27454,35,0,0,0,0,0,0,0
conduit,11677,27719,35,0,0,0,0,0,0,0
conduit,24097,30304,35,0,0,0,0,0,0,0
conduit,15344,30888,35,0,0,0,0,0,0,0
conduit,19815,31597,35,0,0,0,0,0,0,0
conduit,43966,12807,35,0,0,0,0,0,0,0
conduit,48861,13570,35,0,0,0,0,0,0,0
conduit,38722,15038,35,0,0,0,0,0,0,0
conduit,52582,16564,35,0,0,0,0,0,0,0
conduit,44900,18384,35,0,0,0,0,0,0,0
conduit,35607,18737,35,0,0,0,0,0,0,0
conduit,54537,21554,35,0,0,0,0,0,0,0
conduit,49002,21958,35,0,0,0,0,0,0,0
conduit,40122,22317,35,0,0,0,0,0,0,0
conduit,44358,22500,250,0,0,0,0,0,0,0
conduit,35350,23315,35,0,0,0,0,0,0,0
conduit,44620,26016,35,0,0,0,0,0,0,0
conduit,52390,27454,35,0,0,0,0,0,0,0
conduit,36677,27719,35,0,0,0,0,0,0,0
conduit,49097,30304,35,0,0,0,0,0,0,0
conduit,40344,30888,35,0,0,0,0,0,0,0
conduit,44815,31597,35,0,0,0,0,0,0,0
conduit,68966,12807,35,0,0,0,0,0,0,0
conduit,73861,13570,35,0,0,0,0,0,0,0
conduit,63722,15038,35,0,0,0,0,0,0,0
conduit,77582,16564,35,0,0,0,0,0,0,0
conduit,69900,18384,35,0,0,0,0,0,0,0
conduit,60607,18737,35,0,0,0,0,0,0,0
conduit,79537,21554,35,0,0,0,0,0,0,0
conduit,74002,21958,35,0,0,0,0,0,0,0
conduit,65122,22317,35,0,0,0,0,0,0,0
conduit,69358,22500,250,0,0,0,0,0,0,0
conduit,60350,23315,35,0,0,0,0,0,0,0
